species,decimalLatitude,decimalLongitude
Anthracoceros albirostris,5.49409,118.20473
Berenicornis comatus,5.498167,118.280914
Anorrhinus galeritus,5.569477,101.42461
Buceros rhinoceros,5.530219,118.07522
Buceros rhinoceros,5.468624,118.187744
Anthracoceros malayanus,5.506437,118.276245
Anthracoceros malayanus,5.059091,100.723274
Anthracoceros albirostris,1.892917,109.661156
Anthracoceros albirostris,1.878918,103.92119
Anthracoceros malayanus,5.876139,117.944145
Buceros rhinoceros,6.247586,100.81462
Anthracoceros albirostris,5.474088,118.203964
Berenicornis comatus,5.53757,118.297104
Anthracoceros albirostris,6.247586,100.81462
Buceros rhinoceros,5.876139,117.944145
Aceros corrugatus,5.468624,118.187744
Aceros corrugatus,5.0198,117.7462
Anthracoceros malayanus,5.0198,117.7462
Anthracoceros malayanus,5.50429,118.27074
Anthracoceros albirostris,5.239341,118.71002
Buceros bicornis,5.005263,102.52162
Anthracoceros albirostris,5.486863,118.271774
Buceros rhinoceros,5.529182,118.07485
Anorrhinus galeritus,5.498382,118.28103
Buceros rhinoceros,5.0198,117.7462
Anthracoceros albirostris,5.53757,118.297104
Anthracoceros albirostris,2.797921,103.46308
Buceros rhinoceros,5.876139,117.944145
Anthracoceros albirostris,1.72583,103.911995
Aceros corrugatus,5.508605,118.282265
Rhyticeros undulatus,5.50429,118.27074
Buceros rhinoceros,4.678866,102.057495
Rhyticeros undulatus,6.38274,99.820435
Rhyticeros undulatus,5.50429,118.27074
Anthracoceros albirostris,5.578515,101.34368
Anorrhinus galeritus,5.0198,117.7462
Anthracoceros malayanus,5.876139,117.944145
Anorrhinus galeritus,5.239341,118.71002
Anorrhinus galeritus,5.876139,117.944145
Anorrhinus galeritus,5.876139,117.944145
Anthracoceros albirostris,5.477855,118.221375
Rhyticeros undulatus,5.0198,117.7462
Aceros corrugatus,5.239341,118.71002
Anthracoceros albirostris,5.53757,118.297104
Anthracoceros albirostris,5.53757,118.297104
Anthracoceros malayanus,5.876139,117.944145
Anthracoceros albirostris,4.585751,114.029205
Anthracoceros albirostris,6.270305,99.731125
Anthracoceros albirostris,6.366909,99.667496
Anthracoceros malayanus,5.484691,118.26486
Buceros rhinoceros,5.53757,118.297104
Rhyticeros undulatus,6.366567,99.81818
Anthracoceros albirostris,6.008964,116.00652
Buceros rhinoceros,4.397206,102.402176
Berenicornis comatus,3.692246,101.74872
Rhyticeros undulatus,5.0198,117.7462
Aceros corrugatus,5.509894,118.29645
Rhyticeros undulatus,5.239341,118.71002
Buceros rhinoceros,5.486222,118.27065
Anthracoceros malayanus,5.0198,117.7462
Anthracoceros albirostris,5.146054,103.04719
Rhyticeros undulatus,5.413522,100.781204
Anthracoceros albirostris,5.946333,116.04579
Buceros rhinoceros,5.508605,118.282265
Buceros bicornis,3.92996,103.04697
Anthracoceros albirostris,3.547216,103.29768
Anorrhinus galeritus,5.239341,118.71002
Buceros rhinoceros,6.544731,100.168594
Buceros rhinoceros,4.426674,117.936104
